epoch,balance,equity,floatingPnL
1783686573,14791.00,17218.00,-512.00
1783686789,14791.00,17206.00,-524.00
1783686931,14791.00,17207.00,-523.00
1783688312,14791.00,17223.00,-507.00
1783689892,14791.00,17230.00,-500.00
1783693492,14791.00,17226.00,-504.00
1783697092,14804.00,17277.00,-466.00
1783700692,14804.00,17240.00,-503.00
1783704292,14804.00,17312.00,-431.00
1783707892,14823.00,17334.00,-428.00
1783711492,14823.00,17335.00,-427.00
1783715092,14823.00,17334.00,-428.00
1783718693,14823.00,17305.00,-457.00
1783722293,14823.00,17305.00,-457.00
1783725893,14823.00,17305.00,-457.00
1783729493,14823.00,17305.00,-457.00
1783733093,14823.00,17305.00,-457.00
1783736693,14823.00,17305.00,-457.00
1783740293,14823.00,17305.00,-457.00
1783743893,14823.00,17305.00,-457.00
1783747493,14823.00,17305.00,-457.00
1783751093,14823.00,17305.00,-457.00
1783754693,14823.00,17305.00,-457.00
1783758293,14823.00,17305.00,-457.00
1783761894,14823.00,17305.00,-457.00
1783765494,14823.00,17305.00,-457.00
1783769094,14823.00,17305.00,-457.00
1783772694,14823.00,17305.00,-457.00
1783776294,14823.00,17305.00,-457.00
1783779894,14823.00,17305.00,-457.00
1783783494,14823.00,17305.00,-457.00
1783787094,14823.00,17305.00,-457.00
1783790694,14823.00,17305.00,-457.00
1783794294,14823.00,17305.00,-457.00
1783797894,14823.00,17305.00,-457.00
1783801495,14823.00,17305.00,-457.00
1783805095,14823.00,17305.00,-457.00
1783808695,14823.00,17305.00,-457.00
1783812295,14823.00,17305.00,-457.00
1783815895,14823.00,17305.00,-457.00
